model,well_id,window_start,window_end,n_points,rmse,mae,smape
Theta,156758,2018-06-01,2022-05-01,48,76.80930374588614,60.075117782157314,101.49151956269468
Theta,156760,2019-02-01,2022-01-01,36,61.65329004800911,44.1930118642223,99.2518900538271
Theta,156761,2018-11-01,2022-10-01,48,63.79847794939949,47.229819372381144,102.25236804884427
Theta,156873,2018-08-01,2022-07-01,48,78.82789183180455,62.165689664453545,81.06378597783707
Theta,156874,2018-07-01,2024-06-01,72,47.14904947494432,36.35028388280937,107.95223855342175
Theta,156875,2019-01-01,2023-12-01,60,58.31517291427867,42.4057776390837,94.32550132288134
Theta,156968,2019-01-01,2024-12-01,72,69.89224073326112,53.770833344433484,50.227230788824954
Theta,156969,2018-11-01,2022-10-01,48,91.10983965748656,70.55533636788778,88.73438670793394
Theta,156970,2018-11-01,2024-10-01,72,78.40743993848912,56.300587812604945,110.60562247082778
Theta,156971,2019-01-01,2024-12-01,72,109.07461584680978,81.07819581069961,124.84220328754971
Theta,156972,2019-01-01,2024-12-01,72,77.2276430456198,59.10159328622386,96.59393998733286
Theta,156973,2018-08-01,2022-07-01,48,35.75502666800491,30.87299532288415,152.25286976497844
Theta,157109,2019-01-01,2024-12-01,72,126.80699477890181,100.62557243785872,108.06673763888446
Theta,157111,2019-01-01,2024-12-01,72,108.2029640443827,89.16001776248373,110.35188376806735
Theta,157112,2018-12-01,2022-11-01,48,57.833976288073096,43.55052577254795,109.56150039292224
Theta,157113,2019-03-01,2023-02-01,48,71.46441681609184,56.9835461861996,103.36701722779178
Theta,157114,2018-12-01,2021-11-01,36,54.47868050363907,41.26264350665218,56.99151203744927
Theta,157190,2018-11-01,2022-10-01,48,88.25632586845566,75.51946230542036,68.97906004529072
Theta,157191,2018-12-01,2022-11-01,48,71.71678582889287,58.583790225416806,105.86637488695287
Theta,157329,2019-03-01,2022-02-01,36,75.29032056772435,60.42045491658823,151.16664817294497
Theta,157330,2019-08-01,2021-07-01,24,54.01528523632411,44.67379333836854,96.9227628978335
Theta,157332,2019-01-01,2024-12-01,72,66.78771576079738,52.94964523207306,145.07201464183126
Theta,157333,2019-01-01,2024-12-01,72,58.97992560108374,41.1981801532287,117.27963081227765
Theta,157334,2019-03-01,2022-02-01,36,70.85515027215223,54.59117456371442,160.3429092768084
Theta,157335,2019-01-01,2024-12-01,72,49.26003517666992,40.93382455000649,76.22520591095336
Theta,157336,2019-03-01,2022-02-01,36,33.87825901151835,25.1858592590541,59.5208760742529
Theta,157861,2020-01-01,2024-12-01,60,100.4846652132097,89.18034840416193,81.37442813986983
Theta,157863,2020-01-01,2024-12-01,60,82.69587995011048,70.29992744147445,120.1505294797161
Theta,157873,2019-08-01,2021-07-01,24,49.78052801905274,40.41273066988718,93.9553456912053
Theta,157874,2020-01-01,2024-12-01,60,72.62048657288555,56.687198341013485,83.70739313148667
Theta,157875,2019-03-01,2023-02-01,48,70.11225431312995,50.0312471342223,92.39977548515891
Theta,157876,2019-03-01,2023-02-01,48,70.57822901732024,56.3602261884843,106.78262593533152
Theta,157972,2020-01-01,2021-12-01,24,57.836238145066616,42.22816598747297,89.07465104946458
Theta,157977,2019-04-01,2023-03-01,48,74.77334240366672,61.440964372928725,101.63545071583808
Theta,157978,2019-10-01,2023-09-01,48,47.994122735147805,39.86890242054621,122.31285980582402
Theta,157986,2019-09-01,2022-08-01,36,120.19352395692448,83.28355248816669,95.9818900226615
Theta,158041,2020-01-01,2024-12-01,60,76.8699855895805,63.50452485690698,81.51620850875643
Theta,158042,2019-09-01,2023-08-01,48,92.71186172565895,67.81184025096194,100.7964853695958
Theta,158043,2020-01-01,2024-12-01,60,54.172742790181175,43.44169308733422,129.7055108350918
Theta,158044,2020-01-01,2024-12-01,60,81.48871855256402,64.31403280463306,106.8525664065373
Theta,158045,2020-01-01,2024-12-01,60,50.450974179776814,39.172283403408194,84.87597160869905
Theta,158046,2020-02-01,2022-01-01,24,47.32561724129649,37.44207707870323,90.22992899869992
Theta,158080,2020-01-01,2024-12-01,60,111.29101930669123,90.55706106389185,133.89052043174007
Theta,158148,2020-01-01,2021-12-01,24,30.583015651373064,26.068628135931302,46.481858326982355
Theta,158149,2020-02-01,2022-01-01,24,34.29723969380549,25.375896042321163,52.80138567793074
Theta,158150,2019-06-01,2022-05-01,36,61.68576863706901,48.09558032037491,98.68418962643196
Theta,158151,2019-06-01,2024-05-01,60,59.18051999526834,48.10888939426975,137.4257068412584
Theta,158152,2020-02-01,2024-01-01,48,42.667309709425055,36.385202134162355,79.5445270266376
Theta,158171,2020-01-01,2024-12-01,60,16.095273044982424,11.568371981366601,26.331855580674237
Theta,158238,2020-01-01,2024-12-01,60,95.5536502662039,77.46969915368943,77.73366136459639
Theta,158239,2020-01-01,2024-12-01,60,86.13853784201787,66.32962205472296,81.3038341912432
Theta,158362,2020-01-01,2024-12-01,60,92.08530749973129,74.71805735770785,50.36385038991207
Theta,158363,2020-01-01,2024-12-01,60,108.7863022842091,84.40966627423433,82.8719678398349
Theta,158364,2020-01-01,2024-12-01,60,123.60089565159366,99.18871790561053,134.79184453767104
Theta,158365,2020-01-01,2024-12-01,60,96.38531963138121,71.09744539873533,70.75468838208992
Theta,158427,2020-08-01,2023-07-01,36,101.83356238925711,77.45813954077842,142.2362857040696
Theta,158443,2020-04-01,2024-03-01,48,81.4968605860225,64.50888834112565,82.62583368626379
Theta,158469,2020-01-01,2024-12-01,60,100.21470458669235,78.83946094264282,119.72855334164657
Theta,158470,2020-01-01,2024-12-01,60,118.73408095391245,91.2074386618543,114.37133482090243
Theta,158471,2020-01-01,2024-12-01,60,123.02158700996794,96.78519401487665,140.4105115093785
Theta,158560,2020-04-01,2023-03-01,36,100.74894715323138,74.14473500366512,112.3604085624235
Theta,158561,2020-02-01,2023-01-01,36,99.45786046841694,80.03900791343456,118.54544372677206
Theta,158562,2020-01-01,2024-12-01,60,132.20794521514648,115.12883408758411,173.78983227508317
Theta,158753,2020-01-01,2022-12-01,36,81.82946030940238,66.07221675992167,66.98249390231463
Theta,158754,2020-10-01,2024-09-01,48,85.44247318133523,64.24620297547648,112.20501951776481
Theta,158755,2020-01-01,2024-12-01,60,174.60001163674005,144.09119235783604,83.7087517654764
Theta,158757,2020-04-01,2024-03-01,48,142.5539199856021,106.75275463468869,89.23129017638263
Theta,158892,2020-01-01,2024-12-01,60,154.02321756178748,105.9713076111766,82.04016604472118
Theta,158893,2021-01-01,2024-12-01,48,85.1182850630704,73.96357223208103,108.36876437213148
Theta,158895,2020-07-01,2022-06-01,24,92.40751627998877,75.71517089501789,142.51935029574653
Theta,158896,2021-01-01,2024-12-01,48,71.23821845037904,49.808366868394124,111.67386962066259
Theta,158973,2021-01-01,2024-12-01,48,89.99222400305848,72.54984309252222,94.34453593759254
Theta,158974,2020-11-01,2024-10-01,48,81.05321415462213,64.06919844857234,83.69654741761848
Theta,158975,2021-01-01,2024-12-01,48,179.0395615166436,132.0542829207326,111.1368510491351
Theta,159026,2020-11-01,2024-10-01,48,75.1844736723001,62.04872736274484,93.43047771858528
Theta,159027,2021-01-01,2024-12-01,48,68.06592110258258,51.728606752132386,91.32927187482392
Theta,159075,2020-10-01,2024-09-01,48,74.79959441571368,45.98322873810815,44.29302926164644
Theta,159086,2021-01-01,2024-12-01,48,28.094025504721856,22.673406794895982,21.875652065094055
Theta,159135,2021-02-01,2024-01-01,36,74.00309050523782,56.572170736252524,63.48045589409307
Theta,159137,2021-01-01,2024-12-01,48,88.20401622529715,70.47341201265725,76.00497629563519
Theta,159168,2021-01-01,2024-12-01,48,90.89767250089015,72.85355496782421,76.13161411136723
Theta,159222,2020-11-01,2024-10-01,48,121.34367264161709,101.70991596388059,109.25963957111516
Theta,159223,2021-02-01,2024-01-01,36,26.788211118389714,21.62058647989747,45.03368679880333
Theta,159224,2021-03-01,2024-02-01,36,170.43368080004214,137.34305382731196,108.90594341507196
Theta,159225,2021-01-01,2024-12-01,48,117.97262727223074,91.28065083490849,102.3305934189613
Theta,159226,2020-12-01,2022-11-01,24,75.33670956386176,63.95876944001924,61.810911757011866
Theta,159227,2020-12-01,2024-11-01,48,106.15913700853781,82.18211755614827,71.19795297793237
Theta,159281,2020-11-01,2023-10-01,36,70.51573976737227,56.80678809504727,69.29219868584767
Theta,159379,2020-09-01,2022-08-01,24,143.86073187019966,115.71481311276129,84.80986049294002
Theta,159382,2021-01-01,2024-12-01,48,304.9355885781641,244.54273803851189,108.08213869206459
Theta,159492,2021-01-01,2024-12-01,48,200.06546919222134,158.0791617368155,63.637883880414925
Theta,159493,2020-10-01,2023-09-01,36,259.79392728128386,216.11994991930482,166.89883435819448
Theta,159498,2021-01-01,2024-12-01,48,219.92644436674365,159.1899681279269,68.74454525269356
Theta,159499,2021-01-01,2024-12-01,48,150.95755736982082,114.21134206727243,81.3387170513653
Theta,159500,2021-01-01,2024-12-01,48,419.991058543303,276.57482956896007,106.13770098590112
Theta,159527,2021-01-01,2024-12-01,48,82.89245877218384,60.85218288767751,146.20538819100997
Theta,159580,2021-01-01,2024-12-01,48,119.9379149052382,99.82214706760908,106.5205690488574
Theta,159582,2021-01-01,2024-12-01,48,114.94253816735944,93.73244849629116,93.34347257339397
Theta,159583,2021-01-01,2024-12-01,48,197.50063334825833,152.7195644053937,125.54981732062316
Theta,159584,2021-01-01,2024-12-01,48,76.59690063576913,57.87159905962824,76.33302947561295
Theta,159590,2021-01-01,2024-12-01,48,118.89009880609514,98.48433523167584,97.7632498287475
Theta,159607,2021-01-01,2024-12-01,48,46.36419090769873,35.36204474376232,141.8584011680774
Theta,159619,2021-01-01,2024-12-01,48,71.71689099505427,57.734165167248385,157.21654695896228
Theta,159709,2021-01-01,2024-12-01,48,178.77018891600628,146.33787467670854,127.42941618760658
Theta,159710,2020-12-01,2024-11-01,48,165.5777903791242,140.60628019161973,180.84655643787968
Theta,159711,2021-01-01,2024-12-01,48,128.29740027450666,107.39723205758986,120.29979641448243
Theta,159837,2021-05-01,2023-04-01,24,56.65011403551039,46.80617295064523,120.31827327388139
Theta,159838,2021-07-01,2023-06-01,24,56.81831093808816,48.91265416156381,145.64498848833068
Theta,159840,2021-01-01,2024-12-01,48,86.19620229709633,63.18894387932778,105.3952603859499
Theta,159841,2021-01-01,2024-12-01,48,137.25638437416916,107.32990702383819,92.8418468133445
Theta,159842,2021-01-01,2024-12-01,48,129.94748392748826,98.62080864447347,111.27178101474645
Theta,159843,2021-01-01,2024-12-01,48,190.9088449270521,153.67927927699324,161.9604528906083
Theta,159847,2020-12-01,2024-11-01,48,112.99681614303428,84.82106179030417,122.32015836433224
Theta,159848,2021-01-01,2024-12-01,48,275.06706619064647,230.72872552722563,66.12985291877531
Theta,159942,2021-01-01,2024-12-01,48,143.99851426853323,110.7788442813531,90.51963793431662
Theta,159983,2021-06-01,2024-05-01,36,309.07733783599184,257.73682346155147,102.7250777941734
Theta,159984,2021-01-01,2024-12-01,48,254.8473292514764,211.8933737122629,83.25146334279374
Theta,159989,2021-01-01,2024-12-01,48,91.46062087866227,70.67737201830447,75.37404513956214
Theta,160049,2021-01-01,2024-12-01,48,299.3753863909606,228.99594393202827,87.9586277289252
Theta,160050,2021-01-01,2024-12-01,48,264.99062014186023,229.09634955594422,62.676014335111454
Theta,160054,2021-09-01,2024-08-01,36,149.34495399626638,122.10823813246354,133.9640996315324
Theta,160055,2021-01-01,2024-12-01,48,148.5369387914982,122.53190152497542,108.28328419035752
Theta,160056,2021-01-01,2024-12-01,48,290.82994045929223,252.19776467844022,111.86213850833205
Theta,160057,2020-12-01,2024-11-01,48,155.84007029492037,107.74616389878604,115.5170860510821
Theta,160148,2021-12-01,2024-11-01,36,86.1230526578913,70.67788711393915,146.881585397906
Theta,160149,2021-01-01,2024-12-01,48,331.3613277063693,236.69440460401722,103.51391163528312
Theta,160164,2021-01-01,2024-12-01,48,109.93933867369657,82.36779083041766,62.15691367217289
Theta,160208,2022-01-01,2024-12-01,36,110.5650468580847,82.85186799660107,80.1734773919872
Theta,160209,2022-01-01,2024-12-01,36,135.5049625924765,98.90758051945534,65.52288957625404
Theta,160210,2022-01-01,2024-12-01,36,91.0859329713765,65.2333007502795,87.50011864443924
Theta,160211,2022-01-01,2024-12-01,36,131.23352602121406,91.03337696809908,74.2862475857241
Theta,160332,2022-01-01,2024-12-01,36,75.19387461982157,52.55975204346358,42.96764427305798
Theta,160333,2021-10-01,2024-09-01,36,131.99563545162871,105.22004593427312,108.99823031862579
Theta,160334,2022-01-01,2024-12-01,36,173.51425525923713,136.7287992762093,85.80182694390845
Theta,160335,2022-01-01,2024-12-01,36,183.39563529451326,140.25103158849564,94.9522983085936
Theta,160344,2022-01-01,2024-12-01,36,118.7266368804764,91.13302599646498,118.56443314909413
Theta,160345,2022-01-01,2024-12-01,36,79.22139248895155,60.966688037826216,107.38647265453304
Theta,160346,2022-01-01,2024-12-01,36,122.13431772200366,97.23962238186022,132.61020512034386
Theta,160430,2022-01-01,2024-12-01,36,177.52645488516572,152.094733241331,97.48009841138945
Theta,160431,2022-01-01,2024-12-01,36,122.900519026893,100.43897297454963,89.31989283048239
Theta,160432,2021-09-01,2024-08-01,36,123.52966865643957,105.77718907625578,106.560808257362
Theta,160433,2022-01-01,2024-12-01,36,150.30659666476834,111.0142617966216,60.56378654907985
Theta,160434,2022-01-01,2024-12-01,36,72.86564111957757,54.98495731727954,79.42738072719033
Theta,160435,2022-01-01,2024-12-01,36,177.66796977683697,144.87087085671104,86.17848581239244
Theta,160436,2021-10-01,2024-09-01,36,388.9514495448063,318.9771686945435,105.96972894577193
Theta,160437,2022-01-01,2024-12-01,36,139.69336247833746,117.3425282438299,131.85868904489797
Theta,160447,2022-01-01,2024-12-01,36,41.397491962909925,28.9454216922051,61.10361412172121
Theta,160455,2022-01-01,2024-12-01,36,63.9498186078392,42.6277869187357,78.84309660630316
Theta,160520,2022-01-01,2024-12-01,36,134.51754939761716,107.02494836427029,135.8443060009308
Theta,160571,2022-01-01,2024-12-01,36,112.09623564512057,86.43799938073934,48.84366767006961
Theta,160572,2022-01-01,2024-12-01,36,149.4056730789509,127.64958796203703,77.95306341760094
Theta,160574,2022-01-01,2024-12-01,36,158.26577417022483,125.9076881064069,90.35561152225065
Theta,160575,2021-08-01,2024-07-01,36,188.5608733866398,155.51487971769762,70.5820508054301
Theta,160692,2022-01-01,2024-12-01,36,227.94488175254887,175.33812095810728,122.79658442725511
Theta,160693,2022-01-01,2024-12-01,36,417.2933544417726,327.77701592222473,124.63380208971665
Theta,160694,2022-01-01,2024-12-01,36,500.000954609597,359.9288158841035,88.77663139080667
Theta,160755,2021-12-01,2023-11-01,24,153.749602697222,127.59416192263446,89.42435174401426
Theta,160786,2022-01-01,2024-12-01,36,154.8536550969341,111.22004492803791,82.97978001221131
Theta,160789,2022-01-01,2024-12-01,36,75.21650794888413,51.73444668787594,40.28032023358691
Theta,160854,2022-01-01,2024-12-01,36,220.80629506678713,173.25380966574824,95.62338318104692
Theta,160855,2022-01-01,2024-12-01,36,133.96403197480333,112.63935316770208,137.80434571639842
Theta,160856,2022-01-01,2024-12-01,36,119.23067703325673,97.48238287265107,105.62125623400608
Theta,160865,2022-01-01,2024-12-01,36,122.27492338608225,93.07479677678029,117.72658507101187
Theta,160866,2021-10-01,2024-09-01,36,215.02725336094107,185.26900960688363,171.5539987878893
Theta,160885,2022-01-01,2024-12-01,36,121.44210640222879,90.11087329689748,59.29888978178451
Theta,160886,2022-01-01,2024-12-01,36,139.42813473200005,101.99444608692646,36.41893819045865
Theta,160897,2022-01-01,2024-12-01,36,44.74309243373796,34.24140326501698,81.35261724083863
Theta,160909,2022-01-01,2024-12-01,36,73.85410717205885,57.83251523967431,90.88738497777668
Theta,160911,2022-01-01,2024-12-01,36,51.48222470391224,41.50105002809771,25.707725026146043
Theta,160925,2021-11-01,2024-10-01,36,154.89148196668276,117.1341685666386,115.71004645573483
Theta,160926,2022-01-01,2024-12-01,36,106.01863498899014,88.4616803589179,112.35770183741641
Theta,160927,2022-01-01,2024-12-01,36,186.23477978967227,133.88276400507576,81.63291366520217
Theta,160928,2022-01-01,2024-12-01,36,329.8607216861367,246.61228567926642,106.97787486707217
Theta,160930,2021-12-01,2024-11-01,36,112.05731882112025,89.32672186491071,72.72191182915535
Theta,160932,2022-01-01,2024-12-01,36,322.8117847443415,243.65397747845125,65.08092592536124
Theta,161222,2022-01-01,2024-12-01,36,148.99490213739168,112.45789127595127,89.15922494983606
Theta,161223,2022-01-01,2024-12-01,36,170.00831441724853,142.09383935815083,59.724203404828344
Theta,161229,2022-01-01,2024-12-01,36,119.03519657042747,84.12287883803765,77.0063636887075
Theta,161253,2022-01-01,2024-12-01,36,280.2411128443697,208.11630116445153,105.88382472640808
Theta,161254,2022-01-01,2024-12-01,36,79.15856406994813,67.51216324633805,99.25449378237741
Theta,161255,2022-01-01,2024-12-01,36,130.66310716283098,107.2768624521185,159.11952276156325
Theta,161256,2022-01-01,2024-12-01,36,137.19468114736287,110.53580986155748,155.7712447874419
Theta,161364,2022-01-01,2024-12-01,36,176.40958471843285,151.52525207809197,82.13718932382261
Theta,161365,2022-01-01,2024-12-01,36,205.5687781868996,173.15281434483876,95.42924593128515
Theta,161366,2022-01-01,2024-12-01,36,196.2593507639015,140.06220947203622,116.42258235749549
Theta,161367,2022-07-01,2024-06-01,24,78.10696646002908,63.994099711139825,59.501565958132325
Theta,161368,2022-01-01,2024-12-01,36,304.03685560427004,204.60005884146145,80.3592177018117
Theta,161369,2022-01-01,2024-12-01,36,151.43423443413252,122.22721440901084,74.62440275395936
Theta,161370,2022-01-01,2024-12-01,36,265.4812058597874,222.30363542962516,155.19862550383394
Theta,161371,2022-01-01,2024-12-01,36,115.88258462649164,100.68592861847172,92.78029053355043
Theta,161372,2022-01-01,2024-12-01,36,177.7667927271992,150.98416176471466,160.09341479298013
Theta,161373,2022-01-01,2024-12-01,36,291.1318668383008,210.3609444246973,88.15096348776775
Theta,161374,2021-11-01,2024-10-01,36,152.42042864701148,116.55011139725576,72.8317477038885
Theta,161421,2022-01-01,2024-12-01,36,290.10247823611803,199.64773699223403,55.832568189949875
Theta,161422,2022-01-01,2024-12-01,36,117.90092621948031,88.82561317995356,83.32214351833247
Theta,161423,2022-01-01,2024-12-01,36,165.62913161920895,124.98644730700315,80.76002567421754
Theta,161424,2022-01-01,2024-12-01,36,193.16504955233506,159.190866334854,64.37297915171455
Theta,161425,2022-01-01,2024-12-01,36,318.24423214865953,260.8004372640013,103.02808457183414
Theta,161451,2022-01-01,2024-12-01,36,88.82841588746143,64.28917349327986,26.39506675345114
Theta,161483,2022-01-01,2024-12-01,36,143.20667358946739,127.79052603218754,52.87593977289192
Theta,161485,2022-01-01,2024-12-01,36,74.06095272278556,66.1347103670469,44.78739331212391
Theta,161514,2022-01-01,2024-12-01,36,173.6600208033444,137.20759497215076,84.15156203830972
